unit_id,standard_id,standard_name,standard_type,disclosure_id,disclosure_name,requirement_id,requirement_text,requirement_type,is_omittable,year,hierarchy_level,parent_requirement
GRI102-2025-D102-4-Ra-iii,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,a.iii,"report short-, medium-, and long-term gross Scope 1, Scope 2, and Scope 3 GHG emissions reduction targets in metric tons of CO₂ equivalent and as a percentage of base year emissions, where: GHG removals, GHG trades, and avoided GHG emissions are excluded;",shall,True,2025,2,a
GRI102-2025-D102-4-Rb,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,b,"for each gross GHG emissions reduction target, report whether biogenic CO₂ emissions are included in the target;",shall,True,2025,1,
GRI102-2025-D102-4-Rc,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,c,"for each gross Scope 2 GHG emissions reduction target, report whether the targets use the location-based or market-based method;",shall,True,2025,1,
GRI102-2025-D102-4-Rd,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,d,"for each gross Scope 3 GHG emissions reduction target, list the Scope 3 categories covered by the targets;",shall,True,2025,1,
GRI102-2025-D102-4-Re,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,e,"for each gross GHG emissions reduction target, report the gases covered by the target;",shall,True,2025,1,
GRI102-2025-D102-4-Rf,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,f,explain how the gross GHG emissions reduction targets align with the latest scientific evidence on the effort needed to limit global warming to 1.5°C;,shall,True,2025,1,
GRI102-2025-D102-4-Rg,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,g,describe its gross GHG emissions reduction target revision policy;,shall,True,2025,1,
GRI102-2025-D102-4-Rh-i,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,h.i,"for each gross GHG emissions reduction target, report the base year, including: the rationale for choosing it;",shall,True,2025,2,h
GRI102-2025-D102-4-Rh-ii,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,h.ii,"for each gross GHG emissions reduction target, report the base year, including: base year emissions in metric tons of CO equivalent; 2",shall,True,2025,2,h
GRI102-2025-D102-4-Rh-iii,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,h.iii,"for each gross GHG emissions reduction target, report the base year, including: the context for any significant changes in emissions that triggered recalculations of base year emissions;",shall,True,2025,2,h
GRI102-2025-D102-4-Rh-iv,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,h.iv,"for each gross GHG emissions reduction target, report the base year, including: the previously reported base year emissions, if base year emissions are recalculated;",shall,True,2025,2,h
GRI102-2025-D102-4-Rh-i,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,h.i,"for each gross GHG emissions reduction target, report the base year, including: report the progress toward each gross GHG emissions reduction target using the inventory method, in metric tons of CO equivalent, and as a percentage of a base year 2 emissions;",shall,True,2025,2,h
GRI102-2025-D102-4-Rj-i,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,j.i,"for each gross GHG emissions reduction target, explain how the progress toward the target was achieved and whether it is due to: reductions as a result of the organization’s initiatives; or",shall,True,2025,2,j
GRI102-2025-D102-4-Rj-ii,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,j.ii,"for each gross GHG emissions reduction target, explain how the progress toward the target was achieved and whether it is due to: other factors;",shall,True,2025,2,j
GRI102-2025-D102-4-Rk,GRI 102,Climate Change,topic,102-4,GHG emissions reduction targets and progress,k,"report standards, methodologies, assumptions, and calculation tools used. The GHG emissions reduction targets reported under",shall,True,2025,1,
GRI102-2025-D102-5-Ra-i,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,a.i,"report gross Scope 1 GHG emissions in metric tons of CO₂ equivalent, and in the calculation: include emissions of CO, CH , NO, HFCs, PFCs, SF, and NF ; 2 4 2 6 3",shall,True,2025,2,a
GRI102-2025-D102-5-Ra-ii,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,a.ii,"report gross Scope 1 GHG emissions in metric tons of CO₂ equivalent, and in the calculation: include biogenic non-CO GHG emissions produced by combustion or 2 biodegradation of biomass from owned or controlled sources;",shall,True,2025,2,a
GRI102-2025-D102-5-Ra-iii,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,a.iii,"report gross Scope 1 GHG emissions in metric tons of CO₂ equivalent, and in the calculation: exclude GHG removals, GHG trades, and avoided emissions;",shall,True,2025,2,a
GRI102-2025-D102-5-Ra-iv,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,a.iv,"report gross Scope 1 GHG emissions in metric tons of CO₂ equivalent, and in the calculation: use the global warming potential (GWP) values based on a 100-year timeframe from the latest IPCC assessment report;",shall,True,2025,2,a
GRI102-2025-D102-5-Rb,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,b,"provide a breakdown of gross Scope 1 GHG emissions by CO , CH , NO, HFCs, PFCs, 2 4 2 SF, and NF , in metric tons and metric tons of CO equivalent; 6 3 2",shall,True,2025,1,
GRI102-2025-D102-5-Rc,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,c,"report biogenic CO₂ emissions from the combustion or biodegradation of biomass from owned or controlled sources in metric tons, separately from gross Scope 1 GHG emissions;",shall,True,2025,1,
GRI102-2025-D102-5-Rd-i,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,d.i,"report the base year for the calculation, including: the rationale for choosing it;",shall,True,2025,2,d
GRI102-2025-D102-5-Rd-ii,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,d.ii,"report the base year for the calculation, including: base year emissions in metric tons of CO equivalent separately for gross Scope 1 2 GHG emissions and biogenic CO emissions; 2",shall,True,2025,2,d
GRI102-2025-D102-5-Rd-iii,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,d.iii,"report the base year for the calculation, including: the context for any significant changes in emissions that triggered recalculations of base year emissions;",shall,True,2025,2,d
GRI102-2025-D102-5-Rd-iv,GRI 102,Climate Change,topic,102-5,Scope 1 GHG emissions,d.iv,"report the base year for the calculation, including: the previously reported base year emissions, if base year emissions are recalculated;",shall,True,2025,2,d
