Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Talent Building & Retention,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,"Page 36-37: Talent Building & Retention, National Talent Enhancement",,,,"11.10.6, 11.11.4"
Talent Building & Retention,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,"Page 36-37: Talent Building & Retention, National Talent Enhancement",,,,11.10.7
Talent Building & Retention,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,Page 34: Leading Employment Practices,,,,
Upholding Human Rights,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 37: Upholding Human Rights,,,,
Upholding Human Rights,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,Page 37: Upholding Human Rights,,,,
Diversity & Inclusion,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 35: Diversity & Inclusion,,,,11.11.1
Diversity & Inclusion,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,Page 35: Diversity & Inclusion,,,,11.11.5
Diversity & Inclusion,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration,,,Confidentiality constraints,"Information confidential due to competitiveness, but it may be disclosed in the future",11.11.6
Diversity & Inclusion,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,No incidents of discrimination reported in 2023; Page 35: Diversity & Inclusion,,,,11.11.7
Contributing to Communities & Societies,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 38-44: Contributing to communities & society,,,,11.15.1
Contributing to Communities & Societies,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",Page 38-44: Contributing to communities & society,,,,11.15.2
Contributing to Communities & Societies,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,Page 38-44: Contributing to communities & society,,,,11.15.3
Leading Employment Practices,GRI 3: Material Topics 2021,3-3 Management of material topics,Page 34: Leading Employment Practices,,,,11.10.1
